127.0.0.1 - - [20/Jul/2023:22:13:24 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:13:25 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:13:25 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:13:25 +0530] "GET /CustomerFormApp/Images/submit.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:13:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:14:17 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:14:17 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:14:17 +0530] "GET /CustomerFormApp/Images/submit.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:01 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:01 +0530] "GET /CustomerFormApp/Images/submit.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:01 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:53 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:53 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:15:53 +0530] "GET /CustomerFormApp/Images/submit.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:17:19 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:17:19 +0530] "GET /CustomerFormApp/Images/submit.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:17:19 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:19:22 +0530] "GET /CustomerFormApp/ HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [20/Jul/2023:22:19:22 +0530] "GET /CustomerFormApp/Images/cancel.jpg HTTP/1.1" 404 793
